"Key","Issue Type","Parent","Summary","Status","Assignee","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"KAN-37","Task","KAN-16","Create Gantt chart view component","Backlog","","2025/06/02","2025/06/02","2025/06/03","2025/06/03","purple"
"KAN-38","Task","KAN-16","Add notification trigger with task is assigned or status changes","Backlog","","2025/06/04","2025/06/04","2025/06/04","2025/06/04","purple"
"KAN-17","Epic","","Dev Ops","Backlog","","","2025/05/26","","2025/06/05","purple"
"KAN-39","Task","KAN-17","Create EC2, Postgres DB, OpenSearch and Simple Queue Service (SQS) resources in AWS","Backlog","","2025/05/26","2025/05/26","2025/05/26","2025/05/26","purple"
"KAN-40","Task","KAN-17","Create and deploy dockerized container for the backend and frontend respectively","Backlog","","2025/05/27","2025/05/27","2025/05/27","2025/05/27","purple"
"KAN-41","Task","KAN-17","Investigate and implement the best approach for enabling CD/CI given current architecture","Backlog","","2025/05/28","2025/05/28","2025/05/28","2025/05/28","purple"
"KAN-42","Task","KAN-17","Implement and test the best approach for enabling CD/CI","Backlog","","2025/05/29","2025/05/29","2025/05/29","2025/05/29","purple"
"KAN-43","Task","KAN-17","Create and deploy a Kubernetes cluster to the EC2 instance","Backlog","","2025/05/30","2025/05/30","2025/06/02","2025/06/02","purple"
"KAN-44","Task","KAN-17","Investigate the best approach for separating environments for development, staging, performance and production respectively","Backlog","","2025/06/03","2025/06/03","2025/06/03","2025/06/03","purple"
"KAN-45","Task","KAN-17","Implement the best approach for separating environments for development, staging, performance and production respectively","Backlog","","2025/06/04","2025/06/04","2025/06/04","2025/06/04","purple"
"KAN-46","Task","KAN-17","Deploy v1.0.0 of the application to all environments including production","Backlog","","2025/06/05","2025/06/05","2025/06/05","2025/06/05","purple"
